"ref","name","@lat","@lon"
,"東雲",35.6407437,139.8036145
"Y23","辰巳",35.645556,139.810556
"Y24","新木場",35.6459403,139.8267824
,"亀有",35.7665223,139.847598
,"栢山",35.3109356,139.1425149
,"新子安",35.4868754,139.6541635
"KS02","日暮里",35.7280787,139.7712593
"KS30","京成大和田",35.7120331,140.1080135
,"大久保",35.7007911,139.6973187
,"東中野",35.7062386,139.6848775
,"御徒町",35.7069531,139.7746303
,"上野",35.7133757,139.7766557
,"鶯谷",35.7203576,139.7790442
,"日暮里",35.7280753,139.7705663
,"西日暮里",35.7322977,139.7665882
,"田端",35.7373701,139.7617151
,"駒込",35.7365848,139.7472412
,"巣鴨",35.7334119,139.7394273
,"大塚",35.7317401,139.7283438
,"新大久保",35.7013007,139.7002421
,"水戸",36.370781,140.4762395
,"三河島",35.7332563,139.7778333
,"大崎",35.6193759,139.728474
"TJ04","大山",35.7486322,139.7024528
"TJ02","北池袋",35.7409711,139.7168664
"TJ01","池袋",35.7303273,139.710757
,"渋谷",35.6579744,139.7016936
,"河口湖",35.4980487,138.7689941
,"富士急ハイランド",35.4894741,138.7819013
,"富士山",35.4835487,138.7958212
,"月江寺",35.4932012,138.7980004
,"下吉田",35.4979344,138.803618
,"葭池温泉前",35.5020392,138.8120309
,"寿",35.5082675,138.8253295
,"三つ峠",35.5241054,138.845291
,"東桂",35.5364776,138.8710343
,"十日市場",35.5388845,138.8875929
,"都留文科大学前",35.5427001,138.896737
,"谷村町",35.5506147,138.9045731
,"都留市",35.556997,138.9075641
,"赤坂",35.5662202,138.9161361
,"禾生",35.5750909,138.9290533
,"田野倉",35.5932043,138.9312172
,"上大月",35.609569,138.9380778
"TJ20","新河岸",35.8909843,139.497263
"TJ19","上福岡",35.8739286,139.5118698
"TJ18","ふじみ野",35.8608646,139.5231078
"TJ17","鶴瀬",35.8457833,139.5394403
"TJ16","みずほ台",35.8382897,139.5508963
"TJ15","柳瀬川",35.8308061,139.5621719
"TJ14","志木",35.822356,139.5752607
"TJ13","朝霞台",35.8147587,139.586952
"TJ12","朝霞",35.796725,139.6004704
"TJ11","和光市",35.7886582,139.6124496
"TJ09","下赤塚",35.7706013,139.644556
"TJ07","上板橋",35.7635967,139.676569
"TJ06","ときわ台",35.7589509,139.6885556
"TJ05","中板橋",35.7564299,139.694164
"TY03","中目黒",35.6441395,139.6988317
"TY04","祐天寺",35.6375748,139.6910422
"TY07","自由が丘",35.6075666,139.668826
"TY08","田園調布",35.5968995,139.6672487
,"相模湖",35.6173743,139.1886555
,"藤野",35.6159369,139.1521845
,"上野原",35.6187861,139.1157229
,"四方津",35.6141538,139.0728687
,"梁川",35.60568,139.0381381
,"鳥沢",35.6081333,139.0036697
,"猿橋",35.6128325,138.9681513
,"蕨",35.8281232,139.6903799
,"北浦和",35.8721323,139.6460774
,"与野",35.8843429,139.6390018
,"さいたま新都心",35.8936374,139.6339481
,"十条",35.7600092,139.7222807
