id,lat,lon
JR-East.Yokosuka.MusashiKosugi,35.5749,139.66325
JR-East.ShonanShinjuku.MusashiKosugi,35.5749,139.66325
JR-East.Nambu.MusashiKosugi,35.57665,139.65946
JR-East.Utsunomiya.Kurihashi,36.13685,139.69422
Tokyu.Setagaya.NishiTaishido,35.6446,139.66623
Tokyu.DenEnToshi.SangenJaya,35.64355,139.67125
Tokyu.DenEnToshi.KomazawaDaigaku,35.63338,139.66156
Tokyu.DenEnToshi.SakuraShimmachi,35.63168,139.64486
Tokyu.DenEnToshi.Yoga,35.6264,139.63386
Tokyu.DenEnToshi.Tsukushino,35.52736,139.48505
Tokyu.Toyoko.Hakuraku,35.48951,139.62778
Tokyu.TokyuTamagawa.YaguchiNoWatashi,35.56256,139.70026
Tokyu.Ikegami.Ontakesan,35.5852,139.68249
Tokyu.Oimachi.EbaraMachi,35.60387,139.70733
Tobu.Tojo.Ikebukuro,35.73032,139.71055
Tobu.Tojo.Takasaka,36.00293,139.39763
Tobu.Tojo.ShinrinKoen,36.0452,139.37504
Tobu.Tojo.TobuTakezawa,36.07518,139.23754
Tobu.Tojo.Tamayodo,36.11709,139.20025
Tobu.Tojo.Yorii,36.11763,139.1941
Tobu.Ogose.Kawakado,35.93751,139.34622
Tobu.Ogose.BushuKarasawa,35.95191,139.30943
Tobu.TobuUrbanPark.NagareyamaOtakanomori,35.8719,139.92617
Tobu.TobuUrbanPark.Hatsuishi,35.88409,139.9177
Tobu.TobuUrbanPark.Umesato,35.9314,139.89118
Tobu.TobuUrbanPark.MinamiSakurai,35.98049,139.8083
Tobu.TobuUrbanPark.Iwatsuki,35.95002,139.69281
Tobu.TobuSkytreeBranch.Oshiage,35.70936,139.81354
Tobu.TobuSkytree.HigashiMukojima,35.72504,139.81943
Tobu.TobuSkytree.Shinden,35.85429,139.79532
Tobu.TobuSkytree.KitaKasukabe,35.99055,139.74405
Tobu.TobuSkytree.TobuDobutsuKoen,36.02488,139.72669
Tobu.Isesaki.TobuDobutsuKoen,36.02488,139.72669
Tobu.Nikko.TobuDobutsuKoen,36.02488,139.72669
Tobu.Isesaki.Hanasaki,36.1099,139.63362
